Id,Name,Email,Gender,Age,GPA,Intership,extracurricular_activities,Study Hours,Sleep Hours,social_platform_preference,daily_social_media_time,stress_level,Department,Attendance (%),Grade,DataBase_score,sychology_score,AI_score,Calculus_score,ComputerNetwork_score,MobileAppDev_Score
1,Paul,paul.casey.1@gslingacademy.com,male,19,3.16,FALSE,FALSE,3.4,8.2,Facebook,4.180939776,4,Mathematics,53,AA,93,81,97,63,80,87
2,Danielle,danielle.sandoval.2@gslingacademy.com,female,23,3.75,FALSE,FALSE,3.2,5.9,Twitter,3.249602954,7,Chemistry,55,AA,96,86,100,90,88,90
3,Tina,tina.andrews.3@gslingacademy.com,female,22,2.95,FALSE,TRUE,3.2,9.3,Twitter,3.180424153,4,Physics,41,AA,95,97,96,65,77,94
4,Tara,tara.clark.4@gslingacademy.com,female,24,3.55,FALSE,FALSE,3.2,8.2,Facebook,7.3521,6,Physics,47,AA,88,74,80,89,63,86
5,Anthony,anthony.campos.5@gslingacademy.com,male,18,2.29,FALSE,FALSE,3.8,10,Telegram,8,7,Chemistry,75,AA,65,77,65,80,74,76
6,Kelly,kelly.wade.6@gslingacademy.com,female,23,3.3,FALSE,FALSE,3.4,9,Twitter,1.512568401,5,Mathematics,47,BA,67,100,78,72,80,84
7,Anthony,anthony.smith.7@gslingacademy.com,male,20,2.44,FALSE,TRUE,7.9,8.1,TikTok,4.381069807,7,Chemistry,63,CC,97,96,73,88,76,64
8,George,george.short.8@gslingacademy.com,male,20,3.44,TRUE,TRUE,1.4,8,Twitter,4.089167777,4,Mathematics,47,BA,82,95,63,84,70,85
9,Stanley,stanley.gutierrez.9@gslingacademy.com,male,25,3.27,FALSE,FALSE,5.4,8.8,Instagram,4.097400935,4,Computer Science,67,CC,94,68,85,81,74,72
10,Audrey,audrey.simpson.10@gslingacademy.com,female,18,3.09,FALSE,TRUE,1.4,9.6,Twitter,7.595577376,3,Physics,42,Fail,88,69,71,67,71,73
11,Gabrielle,gabrielle.white.11@gslingacademy.com,female,20,3.42,FALSE,FALSE,3.8,7.3,Twitter,3.341558658,4,Physics,61,BA,97,60,94,71,81,66
12,Clinton,clinton.randolph.12@gslingacademy.com,male,20,2.33,FALSE,FALSE,9.1,7.7,Twitter,2.20006057,9,Chemistry,80,Fail,100,61,65,87,64,61
13,Patricia,patricia.gomez.13@gslingacademy.com,female,22,3.76,TRUE,FALSE,1.1,8.9,TikTok,2.715759672,0,Mathematics,43,Fail,69,59,67,89,65,73
14,Pamela,pamela.jackson.14@gslingacademy.com,female,20,2.02,FALSE,FALSE,3.7,8,Twitter,0,5,Computer Science,55,AA,86,94,100,57,90,63
15,Laura,laura.jackson.15@gslingacademy.com,female,23,3.35,FALSE,FALSE,3.7,9.9,TikTok,3.773326308,10,Computer Science,51,BA,86,90,92,92,95,87
16,Roger,roger.wiley.16@gslingacademy.com,male,24,3.21,FALSE,FALSE,3.9,9.3,TikTok,5.826311297,5,Physics,68,BA,78,50,64,79,74,84
17,Vicki,vicki.thompson.17@gslingacademy.com,female,24,3.92,FALSE,TRUE,2.9,5.7,Twitter,2.305803019,9,Computer Science,60,AA,93,64,91,80,89,72
18,Maxwell,maxwell.davidson.18@gslingacademy.com,male,22,3.42,FALSE,TRUE,4.6,5.4,Twitter,5.621219699,1,Chemistry,74,BA,85,83,79,93,76,77
19,Jonathan,jonathan.werner.19@gslingacademy.com,male,21,3.43,FALSE,FALSE,3.9,9.8,Twitter,,5,Computer Science,69,BA,92,87,99,97,87,86
20,Angela,angela.rios.20@gslingacademy.com,female,23,2.05,FALSE,FALSE,3.5,8.3,Twitter,1.445357724,6,Physics,55,BB,98,65,75,66,72,100
21,Tim,tim.nichols.21@gslingacademy.com,male,18,2.33,TRUE,FALSE,2.6,8.1,TikTok,1.437665734,7,Computer Science,47,AA,72,90,98,73,97,72
22,Kyle,kyle.willis.22@gslingacademy.com,male,23,3.68,FALSE,FALSE,3.5,8.8,TikTok,0.071503469,5,Physics,70,AA,78,55,94,83,88,88
23,Shannon,shannon.simpson.23@gslingacademy.com,female,25,3.84,FALSE,FALSE,9.8,6.2,Twitter,5.91604426,5,Mathematics,78,BB,68,72,72,71,54,90
24,Sean,sean.griffin.24@gslingacademy.com,male,21,3.82,FALSE,FALSE,6.5,9.2,TikTok,4.03031542,7,Chemistry,65,AA,81,76,55,56,80,79
25,Cassandra,cassandra.west.25@gslingacademy.com,female,22,2.99,FALSE,FALSE,4,6,Instagram,4.242185462,0,Computer Science,66,BA,90,91,88,95,88,93
26,Patricia,patricia.chavez.26@gslingacademy.com,female,22,2.49,FALSE,FALSE,3.1,8.6,Telegram,1.551556083,3,Biology,52,BB,87,86,81,93,90,99
27,Jason,jason.williams.27@gslingacademy.com,male,19,3.16,FALSE,FALSE,2.8,5.6,Facebook,4.59341867,2,Mathematics,40,AA,80,77,94,63,90,90
28,Peter,peter.gibbs.28@gslingacademy.com,male,24,3.56,FALSE,FALSE,3.8,8.2,Telegram,1.984596415,3,Physics,59,AA,93,75,79,81,96,85
29,Jeffrey,jeffrey.blanchard.29@gslingacademy.com,male,25,3.58,FALSE,TRUE,5.9,8.1,Telegram,2.076693205,3,Physics,58,BB,99,65,71,76,77,83
30,Carol,carol.hill.30@gslingacademy.com,female,19,2.82,FALSE,FALSE,3.5,6.9,Facebook,5.144763133,9,Chemistry,60,CC,61,100,97,30,74,73
31,Angie,angie.miller.31@gslingacademy.com,female,21,2.98,FALSE,FALSE,3.8,9.4,Twitter,,8,Physics,45,CC,87,69,100,88,85,72
32,Cynthia,cynthia.knapp.32@gslingacademy.com,female,24,3.21,FALSE,FALSE,7.2,7.7,Telegram,1.00345412,8,Chemistry,56,BB,92,68,74,82,85,72
33,Timothy,timothy.bryant.33@gslingacademy.com,male,22,2.15,FALSE,FALSE,6.1,8.9,Twitter,0.7656522,7,Chemistry,53,AA,98,96,89,85,62,62
34,Phyllis,phyllis.diaz.34@gslingacademy.com,female,19,2.73,FALSE,FALSE,3,9.8,Twitter,2.707443885,7,Computer Science,53,BA,84,84,78,78,77,68
35,Lisa,lisa.burns.35@gslingacademy.com,female,25,2.92,FALSE,TRUE,4.9,7.6,Instagram,7.124254014,7,Physics,51,BA,91,93,80,86,69,62
